trial_id,observer_id,observer_cohort,evaluation_dimension,artwork_id,left_method,right_method,selected_position,winner_method,loser_method
T000001,E01,Faculty,Style Authenticity,IMG20260430103435,M0,M1,Left,M0,M1
T000002,E01,Faculty,Visual Harmony,IMG20260430103435,M0,DDColor,Left,M0,DDColor
T000003,E01,Faculty,Style Authenticity,IMG20260430103755,M1,DDColor,Right,DDColor,M1
T000004,E01,Faculty,Visual Harmony,IMG20260430103755,M1,Reinhard,Right,Reinhard,M1
T000005,E01,Faculty,Style Authenticity,IMG20260430103113,M1,DDColor,Right,DDColor,M1
T000006,E01,Faculty,Style Authenticity,IMG20260430102902,Reinhard,M1,Left,Reinhard,M1
T000007,E01,Faculty,Style Authenticity,IMG20260430103113,DDColor,M4,Left,DDColor,M4
T000008,E01,Faculty,Visual Harmony,IMG20260430110350,M0,DDColor,Right,DDColor,M0
T000009,E01,Faculty,Visual Harmony,IMG20260430104113,Reinhard,M0,Right,M0,Reinhard
T000010,E01,Faculty,Style Authenticity,IMG20260430102920,M1,M4,Right,M4,M1
T000011,E01,Faculty,Style Authenticity,IMG20260430110350,M0,Reinhard,Left,M0,Reinhard
T000012,E01,Faculty,Style Authenticity,IMG20260430104352,M1,DDColor,Left,M1,DDColor
T000013,E01,Faculty,Visual Harmony,IMG20260430103043,DDColor,Reinhard,Left,DDColor,Reinhard
T000014,E01,Faculty,Visual Harmony,IMG20260430103043,Reinhard,M0,Right,M0,Reinhard
T000015,E01,Faculty,Visual Harmony,IMG20260430104348,M4,M1,Left,M4,M1
T000016,E01,Faculty,Visual Harmony,IMG20260430102920,M4,M0,Left,M4,M0
T000017,E01,Faculty,Visual Harmony,IMG20260430104348,DDColor,M0,Left,DDColor,M0
T000018,E01,Faculty,Style Authenticity,IMG20260430103656,M4,M1,Left,M4,M1
T000019,E01,Faculty,Style Authenticity,IMG20260430103043,M1,Reinhard,Right,Reinhard,M1
T000020,E01,Faculty,Style Authenticity,IMG20260430102902,DDColor,M4,Left,DDColor,M4
T000021,E01,Faculty,Style Authenticity,IMG20260430104348,M1,DDColor,Left,M1,DDColor
T000022,E01,Faculty,Style Authenticity,IMG20260430103755,M4,DDColor,Left,M4,DDColor
T000023,E01,Faculty,Visual Harmony,IMG20260430103435,DDColor,M1,Right,M1,DDColor
T000024,E01,Faculty,Style Authenticity,IMG20260430103113,M0,DDColor,Left,M0,DDColor
T000025,E01,Faculty,Style Authenticity,IMG20260430104348,M1,M4,Left,M1,M4
T000026,E01,Faculty,Visual Harmony,IMG20260430102920,Reinhard,DDColor,Right,DDColor,Reinhard
T000027,E01,Faculty,Style Authenticity,IMG20260430104113,DDColor,M1,Right,M1,DDColor
T000028,E01,Faculty,Style Authenticity,IMG20260430103113,M1,M4,Right,M4,M1
T000029,E01,Faculty,Style Authenticity,IMG20260430104352,M4,M1,Left,M4,M1
T000030,E01,Faculty,Visual Harmony,IMG20260430102902,M4,M0,Left,M4,M0
T000031,E01,Faculty,Style Authenticity,IMG20260430110350,Reinhard,DDColor,Left,Reinhard,DDColor
T000032,E01,Faculty,Style Authenticity,IMG20260430104410,M1,M0,Left,M1,M0
T000033,E01,Faculty,Style Authenticity,IMG20260430103656,M4,Reinhard,Left,M4,Reinhard
T000034,E01,Faculty,Style Authenticity,IMG20260430103755,M0,M1,Left,M0,M1
T000035,E01,Faculty,Style Authenticity,IMG20260430110350,M0,M1,Left,M0,M1
T000036,E01,Faculty,Visual Harmony,IMG20260430104410,DDColor,M4,Right,M4,DDColor
T000037,E01,Faculty,Style Authenticity,IMG20260430110350,DDColor,M1,Left,DDColor,M1
T000038,E01,Faculty,Visual Harmony,IMG20260430103656,M1,DDColor,Left,M1,DDColor
T000039,E01,Faculty,Visual Harmony,IMG20260430103043,M4,Reinhard,Left,M4,Reinhard
T000040,E01,Faculty,Style Authenticity,IMG20260430102902,M4,M0,Left,M4,M0
T000041,E01,Faculty,Style Authenticity,IMG20260430103043,M0,Reinhard,Right,Reinhard,M0
T000042,E01,Faculty,Visual Harmony,IMG20260430102902,DDColor,M0,Left,DDColor,M0
T000043,E01,Faculty,Style Authenticity,IMG20260430103656,M0,DDColor,Left,M0,DDColor
T000044,E01,Faculty,Visual Harmony,IMG20260430104348,M4,M0,Left,M4,M0
T000045,E01,Faculty,Style Authenticity,IMG20260430103656,M0,M1,Left,M0,M1
T000046,E01,Faculty,Visual Harmony,IMG20260430102920,M0,DDColor,Right,DDColor,M0
T000047,E01,Faculty,Style Authenticity,IMG20260430104410,M1,DDColor,Left,M1,DDColor
T000048,E01,Faculty,Style Authenticity,IMG20260430102920,Reinhard,DDColor,Left,Reinhard,DDColor
T000049,E01,Faculty,Style Authenticity,IMG20260430110350,M0,M4,Right,M4,M0
T000050,E01,Faculty,Style Authenticity,IMG20260430103656,DDColor,Reinhard,Right,Reinhard,DDColor
T000051,E01,Faculty,Visual Harmony,IMG20260430103113,M4,DDColor,Left,M4,DDColor
T000052,E01,Faculty,Visual Harmony,IMG20260430103435,M0,Reinhard,Left,M0,Reinhard
T000053,E01,Faculty,Visual Harmony,IMG20260430104410,M0,M1,Right,M1,M0
T000054,E01,Faculty,Style Authenticity,IMG20260430103755,Reinhard,DDColor,Right,DDColor,Reinhard
T000055,E01,Faculty,Visual Harmony,IMG20260430103755,M4,DDColor,Left,M4,DDColor
T000056,E01,Faculty,Style Authenticity,IMG20260430103755,M1,M4,Right,M4,M1
T000057,E01,Faculty,Style Authenticity,IMG20260430103435,M0,M4,Left,M0,M4
T000058,E01,Faculty,Style Authenticity,IMG20260430104410,M4,Reinhard,Left,M4,Reinhard
