id,session_id,seq,ts_iso,label,L,a,b,X,Y,Z,C,h
1,S001,1,2026-09-22T13:49:57.204+08:00,,96.0226,-0.2577,1.7251,86.6993,90.0623,72.3199,1.744,98.5
2,S001,2,2026-09-22T13:49:57.222+08:00,,96.0244,-0.2648,1.7386,86.6998,90.0667,72.3082,1.759,98.66
3,S001,3,2026-09-22T13:49:57.222+08:00,,96.0244,-0.2603,1.7362,86.7023,90.0667,72.3109,1.756,98.53
4,S001,4,2026-09-22T13:49:57.223+08:00,,96.0238,-0.2583,1.7321,86.7018,90.0652,72.3143,1.751,98.48
5,S001,5,2026-09-22T13:49:57.238+08:00,,96.0242,-0.2576,1.7327,86.7032,90.0662,72.3144,1.752,98.46
6,S001,6,2026-09-22T13:49:57.239+08:00,,96.0241,-0.2569,1.7321,86.7034,90.066,72.315,1.751,98.44
7,S002,1,2026-09-22T14:10:05.119+08:00,纸张底,91.6321,-0.0347,1.8425,77.0056,79.8825,63.9522,1.843,91.08
8,S002,2,2026-09-22T14:10:05.120+08:00,纸张底,91.6247,-0.0362,1.847,76.989,79.8661,63.9341,1.847,91.12
9,S002,3,2026-09-22T14:10:05.121+08:00,纸张底,91.6239,-0.0354,1.8448,76.9876,79.8642,63.935,1.845,91.1
10,S003,1,2026-09-22T14:17:02.137+08:00,绿-中-01,51.1601,-47.017,16.3523,10.9954,19.407,10.1393,49.779,160.82
11,S003,2,2026-09-22T14:17:02.149+08:00,绿-中-01,51.1559,-47.0156,16.3603,10.9931,19.4034,10.1347,49.781,160.81
12,S003,3,2026-09-22T14:17:02.151+08:00,绿-中-01,51.1556,-47.0206,16.3729,10.9923,19.4032,10.1307,49.79,160.8
13,S004,1,2026-09-22T14:25:54.784+08:00,黄-亮-01,84.2064,-0.1766,14.9224,62.0795,64.4633,40.5532,14.923,90.68
14,S004,2,2026-09-22T14:25:54.784+08:00,黄-亮-01,84.1992,-0.1757,14.9276,62.0665,64.4494,40.5396,14.929,90.67
15,S004,3,2026-09-22T14:25:54.784+08:00,黄-亮-01,84.1947,-0.1811,14.9363,62.0558,64.4407,40.5269,14.937,90.69
16,S005,1,2026-09-22T14:29:16.000+08:00,橙-中-01,53.1921,55.0552,21.1682,34.0156,21.2225,9.7432,58.984,21.03
17,S005,2,2026-09-22T14:29:16.000+08:00,橙-中-01,53.1658,55.033,21.1261,33.9765,21.1983,9.7422,58.949,21.0
18,S005,3,2026-09-22T14:29:16.000+08:00,橙-中-01,53.1548,55.0185,21.1025,33.9586,21.1882,9.7436,58.927,20.98
19,S006,1,2026-09-22T14:40:44.083+08:00,灰-中-01,76.1894,1.9014,5.8299,49.0972,50.196,37.0158,6.132,71.94
20,S006,2,2026-09-22T14:40:44.087+08:00,灰-中-01,76.1894,1.8958,5.8393,49.0952,50.196,37.009,6.139,72.01
21,S006,3,2026-09-22T14:40:44.088+08:00,灰-中-01,76.1886,1.8892,5.8472,49.0914,50.1947,37.0022,6.145,72.09
22,S007,1,2026-09-22T14:43:14.132+08:00,灰-暗-01,45.356,-0.0745,3.8748,14.256,14.7978,10.9139,3.876,91.1
23,S007,2,2026-09-22T14:43:14.133+08:00,灰-暗-01,45.3562,-0.078,3.8816,14.2556,14.798,10.9119,3.882,91.15
24,S007,3,2026-09-22T14:43:14.133+08:00,灰-暗-01,45.3581,-0.0787,3.8832,14.2568,14.7993,10.9124,3.884,91.16
25,S008,1,2026-09-22T14:59:15.683+08:00,纸白,90.9475,-0.2326,2.0058,75.4481,78.3678,62.5592,2.019,96.61
26,S008,2,2026-09-22T14:59:15.684+08:00,纸白,90.945,-0.2317,2.0013,75.4433,78.3623,62.5594,2.015,96.6
27,S008,3,2026-09-22T14:59:15.685+08:00,纸白,90.9442,-0.233,2.0067,75.441,78.3606,62.5524,2.02,96.62
28,S009,1,2026-09-22T15:02:37.070+08:00,绿-中-01,68.265,-38.92,21.9824,26.3066,38.3326,19.3297,44.699,150.54
29,S009,2,2026-09-22T15:02:37.071+08:00,绿-中-01,68.2675,-38.9083,21.9747,26.3121,38.336,19.3354,44.685,150.54
30,S009,3,2026-09-22T15:02:37.072+08:00,绿-中-01,68.2697,-38.9087,21.9814,26.3143,38.339,19.334,44.689,150.54
31,S010,1,2026-09-22T15:20:02.192+08:00,品红-暗-01,44.8111,9.3407,-9.6401,15.4299,14.407,15.4732,13.423,314.1
32,S010,2,2026-09-22T15:20:02.193+08:00,品红-暗-01,44.8072,9.3354,-9.6271,15.4261,14.4042,15.4652,13.41,314.12
33,S010,3,2026-09-22T15:20:02.194+08:00,品红-暗-01,44.8064,9.3368,-9.6245,15.4258,14.4037,15.4636,13.409,314.13
34,S011,1,2026-09-22T15:23:15.482+08:00,橙-中-01,59.0733,49.0493,23.5379,39.9145,27.1071,12.2458,54.405,25.64
35,S011,2,2026-09-22T15:23:15.484+08:00,橙-中-01,59.0634,49.0315,23.5054,39.8951,27.0964,12.2512,54.375,25.61
36,S011,3,2026-09-22T15:23:15.486+08:00,橙-中-01,59.0591,49.026,23.4993,39.8873,27.0917,12.2507,54.367,25.61
37,S012,1,2026-09-22T15:25:18.370+08:00,黄-亮-01,88.5245,-2.6131,38.1722,69.3219,73.1612,29.5508,38.262,93.92
38,S012,2,2026-09-22T15:25:18.372+08:00,黄-亮-01,88.522,-2.6095,38.1675,69.3186,73.1559,29.551,38.257,93.91
39,S012,3,2026-09-22T15:25:18.374+08:00,黄-亮-01,88.5224,-2.6112,38.1635,69.3186,73.1568,29.554,38.253,93.91
40,S013,1,2026-09-22T15:29:00.482+08:00,绿-中-04,64.2274,-48.4223,20.5681,20.2869,33.0821,16.8365,52.61,156.99
41,S013,2,2026-09-22T15:29:00.496+08:00,绿-中-04,64.2282,-48.4134,20.5787,20.2896,33.0832,16.8326,52.605,156.97
42,S013,3,2026-09-22T15:29:00.497+08:00,绿-中-04,64.2284,-48.4185,20.5879,20.2886,33.0834,16.8287,52.614,156.96
43,S014,1,2026-09-22T15:33:17.650+08:00,品红-暗-02,45.5434,10.1046,-11.2382,16.1082,14.9338,16.6624,15.113,311.96
44,S014,2,2026-09-22T15:33:17.652+08:00,品红-暗-02,45.5502,10.107,-11.2441,16.1137,14.9387,16.6698,15.119,311.95
45,S014,3,2026-09-22T15:33:17.652+08:00,品红-暗-02,45.5438,10.1069,-11.2392,16.1089,14.9341,16.6631,15.115,311.96
46,S015,1,2026-09-22T15:38:00.552+08:00,品红-暗-03,45.8354,10.691,-12.0025,16.4341,15.1473,17.2082,16.073,311.69
47,S015,2,2026-09-22T15:38:00.552+08:00,品红-暗-03,45.8341,10.6861,-11.9978,16.4322,15.1464,17.2052,16.067,311.69
48,S015,3,2026-09-22T15:38:00.553+08:00,品红-暗-03,45.8385,10.6915,-12.0014,16.4365,15.1496,17.21,16.073,311.7
49,S016,1,2026-09-22T15:46:26.696+08:00,橙-中-02,58.384,51.6396,24.1124,39.7923,26.3673,11.6444,56.992,25.03
50,S016,2,2026-09-22T15:46:26.697+08:00,橙-中-02,58.3688,51.619,24.0809,39.7646,26.3511,11.6461,56.96,25.01
51,S016,3,2026-09-22T15:46:26.699+08:00,橙-中-02,58.3561,51.612,24.0812,39.7448,26.3376,11.6387,56.954,25.01
52,S017,1,2026-09-22T15:49:39.495+08:00,橙-中-03,57.0319,50.7747,24.2618,37.6843,24.9553,10.8319,56.273,25.54
