work_id,filename,original_split,suggested_split,work_cluster_id,cluster_size,cluster_basis,orientation_proxy,quality_band_proxy,dominant_hue_bin_12_proxy,seed,stratification_limitation
zhx_70781fadb6d33625,IMG20260430102041.png,train,train,precautionary_cluster_0206,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_5bc633c6cf1c98ec,IMG20260430102101.png,train,train,precautionary_cluster_0163,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_3b730a6aeea71add,IMG20260430102113.png,train,train,precautionary_cluster_0111,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_22c7bc1f9a36b00b,IMG20260430102531.png,train,train,precautionary_cluster_0073,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_85a0665cca428d11,IMG20260430102609.png,train,train,precautionary_cluster_0237,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,1,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_bb6e05f723e3b930,IMG20260430102635.png,train,train,precautionary_cluster_0317,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_8cd272e96b777aae,IMG20260430102644.png,train,train,precautionary_cluster_0252,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,one_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_60322eb911656d93,IMG20260430102652.png,train,train,precautionary_cluster_0171,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,multiple_flags,1,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_83bf4205682f219f,IMG20260430102834.png,train,train,precautionary_cluster_0233,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_6f76935fcff3020b,IMG20260430102843.png,train,train,precautionary_cluster_0201,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
